Photo,Number,Tadpole,TotalLength,BodyLength,TailLength,MaxTailDepth,TailMuscleHeight,TailSpotArea,Red,Green,Blue,Hue,Chroma,Brightness,HeadWidth,TailMuscleWidth,
7363/7365,86,2,13.357,4.701,8.44,1.983,0.938,1.687,111.083,75.484,57.529,12.76,122.474,111.083,2.672,0.813,
7381/7382,45,1,11.833,4.43,7.388,3.177,1.101,4.183,78.474,51.633,37.744,14.213,122.115,78.474,2.75,0.806,
7377/7378,140,2,12.399,4.488,7.712,2.617,1.055,3.224,99.2,66.113,49.679,19.694,121.76,99.2,2.704,0.838,
7887/7888,6,2,17.219,5.887,11.419,3.943,1.379,5.525,95.983,68.263,51.295,30.25,120.215,96.471,3.144,1.002,
7353/7354,101,4,12.706,4.699,7.88,3.252,1.112,4.864,95.048,63.114,48.528,15.793,119.987,95.05,2.864,0.893,
7321/7322,36,2,11.459,3.955,7.317,2.704,0.958,3.253,79.661,49.81,37.308,16.403,119.278,79.661,2.498,0.749,
7924/7925,89,3,14.117,5.504,8.717,3.463,1.357,4.578,101.895,75.779,56.398,17.3,119.115,101.9,3.205,0.899,
7889/7890,48,1,17.788,6.097,11.533,4.149,1.502,5.657,93.48,67.639,51.462,26.935,119.099,94.007,3.244,1.18,
8157/8158,78,4,11.362,4.203,7.212,2.92,0.954,3.252,82.336,55.801,42.325,13.84,118.873,82.366,1.917,0.78,
7384/7385,83,4,11.187,3.989,7.127,2.189,1.006,1.612,129.058,88.641,69.457,13.413,118.794,129.058,2.464,0.828,
7375/7376,77,4,11.846,4.754,6.927,2.517,0.922,3.853,97.881,66.772,51.369,14.178,118.655,97.881,2.847,0.812,
7340/7341,111,2,8.068,2.764,5.222,1.246,0.728,0.218,190.458,134.828,104.315,15.581,118.56,190.458,1.629,0.519,no tail spot
7312/7313,138,3,14.432,4.914,9.359,3.558,1.288,8.35,72.438,44.295,36.033,19.038,118.241,72.443,2.915,0.855,
7321/7322,36,1,14.424,4.976,9.321,3.829,1.278,9.716,78.368,48.044,37.426,23.565,118.129,78.372,2.623,0.938,
7887/7888,6,5,17.751,6.001,11.847,3.697,1.503,6.487,108.616,77.367,60.076,21.456,117.373,108.623,3.401,1.077,
8134/8135,81,2,12.506,4.457,7.951,3.229,1.087,3.483,130.706,88.74,67.546,13.869,117.213,130.706,2.506,0.977,
7939/7940,13,4,14.416,4.988,9.574,3.743,1.132,7.87,61.802,37.939,29.905,24.146,116.915,61.977,3.025,0.866,
7920/7921,61,4,16.437,5.694,10.785,3.817,1.313,3.43,150.306,108.426,82.063,16.252,116.413,150.307,3.316,1.132,
7375/7376,77,5,11.577,4.342,7.092,2.754,1.038,3.154,92.417,62.418,48.893,11.916,116.313,92.417,2.447,0.801,
7331/7332,75,1,14.087,4.888,9.001,3.347,1.192,3.284,97.152,67.245,52.016,13.024,115.97,97.152,2.891,0.879,
8001/8002,11,4,17.034,6.116,11.158,3.844,1.624,4.794,166.671,121.617,93.314,15.982,115.809,166.671,2.524,1.144,
7384/7385,83,2,13.656,4.822,8.82,3.146,1.239,4.941,111.915,78.046,60.502,15.491,115.783,111.915,2.946,0.878,
7357/7358,123,1,14.274,5.36,8.817,3.792,1.256,5.434,121.15,85.544,66.969,13.403,115.669,121.15,3.123,0.937,
8130/8131,132,4,10.179,3.798,6.808,2.513,1.075,2.695,85.488,56.422,45.324,12.054,115.471,85.489,2.351,0.803,
7971/7972,116,5,15.888,5.457,10.271,3.93,1.269,2.548,153.379,115.379,85.763,18.875,114.871,153.438,3.353,1.019,
7999/8000,100,1,17.419,5.874,11.246,3.877,1.401,2.363,151.469,115.807,84.911,19.558,114.631,151.516,3.375,1.189,
7381/7382,45,2,11.948,4.529,6.76,2.075,0.826,2.653,90.186,62.135,48.383,15.887,114.535,90.186,2.782,0.84,
7360/7362,37,1,12.094,4.216,7.796,2.444,0.966,2.469,112.24,81.531,63.166,14.546,114.263,112.24,2.514,0.685,
8177/8178,79,2,16.323,6.1,10.052,2.515,1.102,1.784,182.127,140.26,101.178,20.264,113.939,182.127,3.174,1.07,
7922/7923,85,3,14.323,5.172,9.309,3.316,1.352,2.701,145.658,108.996,83.026,18.65,113.863,145.807,2.826,1.046,
7946/7947,144,5,17.406,5.903,11.914,3.753,1.356,2.954,228.39,167.81,126.521,17.026,113.498,228.39,3.274,0.964,
7342/7343,42,5,13.711,5.041,8.766,2.794,1.303,0.479,186.798,135.877,109.631,14.827,113.24,186.798,2.535,1.036,
7390/7391,112,2,13.089,4.739,8.188,2.182,0.757,1.387,143.757,107.951,81.849,17.292,112.839,143.757,2.807,0.863,
7377/7378,140,1,12.647,4.919,7.645,3.409,1.146,5.982,83.363,57.254,43.673,16.999,112.833,83.363,2.95,0.975,
7357/7358,123,3,12.216,4.582,7.614,2.592,1.064,1.294,159.588,114.696,92.457,13.622,112.061,159.588,2.674,0.823,
7388/7389,55,2,11.447,4.531,6.881,2.023,0.872,2.063,98.72,70.353,54.979,13.612,111.923,98.72,2.742,0.841,
7926/7927,69,2,14.276,5.468,9.23,3.733,1.212,3.882,130.101,98.011,77.725,15.918,111.167,130.101,2.859,0.977,
7357/7358,123,5,12.969,4.794,8.048,3.294,1.102,2.719,113.026,80.644,65.712,12.529,111.157,113.026,2.726,0.952,
7355/7356,41,3,11.978,4.26,7.533,1.847,0.765,1.908,139.365,101.493,81.242,14.224,111.122,139.365,2.594,0.82,
8132/8133,18,2,12.189,4.453,7.838,3.197,1.11,4.297,66.417,45.233,35.403,14.115,111.1,66.417,2.546,0.88,
7340/7341,111,4,10.162,3.621,6.592,2.017,0.944,0.225,185.771,139.391,113.206,16.732,110.928,185.771,2.135,0.657,no tail spot
7381/7382,45,4,10.128,4.096,6.111,2.818,1.043,3.003,92.282,63.932,51.726,11.995,110.879,92.282,2.357,0.817,
7351/7352,64,1,10.633,4.031,6.718,2.132,1.009,1.549,126.013,89.137,72.243,12.008,110.724,126.013,2.299,0.826,
8134/8135,81,4,12.506,4.426,7.892,3.08,1.242,4.84,68.183,45.668,33.556,13.385,110.583,68.193,2.562,0.964,
8177/8178,79,3,16.317,5.947,10.469,2.765,1.101,1.512,210.337,154.726,119.312,16.371,110.358,210.227,2.672,1.15,
7316/7317,57,3,13.711,4.642,8.955,3.277,1.254,5.07,74.763,49.978,40.11,11.345,110.212,74.763,2.493,0.856,
7344/7345,17,4,11.367,4.135,7.182,2.075,1.158,0.622,201.051,149.856,116.978,16.744,110.167,201.051,2.226,0.849,
7377/7378,140,3,12.97,4.872,7.996,3.41,1.229,6.629,75.738,51.486,41.309,15.574,110.041,75.738,2.942,0.975,
7390/7391,112,1,13.651,5.063,8.551,3.217,1.147,3.707,94.607,67.789,54.505,13.114,109.964,94.607,2.932,0.872,
8175/8176,125,4,17.809,6.507,11.04,3.832,1.433,3.834,167.65,125.544,96.388,17.099,109.951,167.65,3.157,1.32,
7388/7389,55,4,13.4,5.006,8.353,3.252,1.131,4.552,81.16,56.78,45.336,12.566,109.89,81.16,2.599,0.777,
